Date,cum_buy_hold,cum_overnight,ret_buy_hold,ret_overnight
2020-11-13,1.008765988392819,1.0055932638423475,0.008765988392819057,0.0055932638423474845
2020-11-16,1.0166728457556788,1.004772371382068,0.00783814824631146,-0.0008163265306122547
2020-11-17,1.0134216943062073,1.0054629051076185,-0.0031978344489520527,0.0006872538947311213
2020-11-18,1.0059426200288042,1.0035211674082856,-0.007380021879759835,-0.001931187803616785
2020-11-19,1.013803134224073,1.0013233876644374,0.007814078098255406,-0.0021900681472660777
2020-11-20,1.0068801779577639,1.0010452305423878,-0.0068286988199218746,-0.0002777894988534868
2020-11-23,1.0069158265482188,1.0045929751582539,3.5404997769550306e-05,0.00354404027672528
2020-11-24,1.0210718818177935,1.0083914616392244,0.014058826861528928,0.003781119891239637
2020-11-25,1.0273246445835535,1.0117395408357348,0.006123724369559991,0.0033202177169051605
2020-11-27,1.0368036047854672,1.0185925796679665,0.009226840076202114,0.006773520808103228
2020-11-30,1.038931825635615,1.0195802124126592,0.0020526750103151414,0.0009696052812544487
2020-12-01,1.052246574170458,1.0271928578290268,0.012815805817380843,0.00746645072519958
2020-12-02,1.0536047854667834,1.0229612013198726,0.0012907728375319838,-0.004119631943409252
2020-12-03,1.0550770722525638,1.0236776649276629,0.0013973805036660014,0.0007003819957842605
2020-12-04,1.0593691625433137,1.0238506033166885,0.00406803484184004,0.0001689383239966702
2020-12-07,1.0653866446120726,1.0245017718869576,0.005680250361745687,0.0006359995961906506
2020-12-08,1.0689835873889553,1.0228460211430543,0.0033761853455487323,-0.001616152152527306
2020-12-09,1.0447995836244641,1.0221126563695189,-0.022623363024274035,-0.0007169845298082844
2020-12-10,1.0489597741305314,1.0149668688864468,0.003981807201372867,-0.006991193620919822
2020-12-11,1.0466176617376555,1.0092513205372715,-0.002232795242140928,-0.005631265930331253
2020-12-14,1.054235765517832,1.0134073625632378,0.0072787838947114825,0.004117945591345817
2020-12-15,1.0655256741148462,1.0212067578129382,0.010709092753525162,0.0076962093801777876
2020-12-16,1.0713577835132406,1.0225460588064665,0.0054734574117505375,0.0013114885729865744
2020-12-17,1.0783841206918687,1.0280205877554325,0.0065583480017170626,0.005353821377352741
2020-12-18,1.0751008855109878,1.0302227316638286,-0.0030445878401608173,0.002142120434770911
2020-12-21,1.0731081293045681,1.0201146384921536,-0.001853552753305121,-0.009811560996475288
2020-12-22,1.0760063597085379,1.0231713495979788,0.00270078133304974,0.002996438822153724
2020-12-23,1.0705913388184638,1.02334084030813,-0.005032517550863536,0.0001656523222799411
2020-12-24,1.0753112121946706,1.0242438342101996,0.004408660153570665,0.0008823979914625024
2020-12-28,1.086180467424319,1.0331673687190026,0.010108008831661408,0.008712314598099624
2020-12-29,1.0871536739437333,1.0376907884126305,0.0008959897076055157,0.004378206117017003
2020-12-30,1.087189322534188,1.041668505558439,3.2790755630118795e-05,0.003833239333167038
2020-12-31,1.0898487073821113,1.0413371925775319,0.0024461101602104574,-0.0003180599001881834
2021-01-04,1.0744306920104387,1.0459082854482602,-0.014146931833050047,0.004389637576867722
2021-01-05,1.083310755892713,1.0424727632843431,0.008264901541167102,-0.003284726023988438
2021-01-06,1.0683205236064974,1.026232903398109,-0.01383742587680925,-0.015578210249896474
2021-01-07,1.0941764462633157,1.0353658252495537,0.024202401887340352,0.00889946309575862
2021-01-08,1.1082326854796172,1.0430770800356657,0.012846409977389284,0.007447855239237189
2021-01-11,1.0922193386473509,1.0331052098687956,-0.01444944463565978,-0.009560051081295984
2021-01-12,1.090472557715069,1.0332400866036058,-0.001599295004651058,0.00013055469425737876
2021-01-13,1.0978482510801533,1.034141948690672,0.00676375880612623,0.0008728485264550834
2021-01-14,1.0919769282322587,1.0356194670286074,-0.005348027691548296,0.0014287384239717316
2021-01-15,1.083310755892713,1.0348993406677554,-0.00793622293245222,-0.0006953580767636858
2021-01-19,1.0991102111822508,1.0428478972354107,0.014584416524617616,0.007680511770861376
2021-01-20,1.1247308531420677,1.0551428398156386,0.023310348406515358,0.011789775491537924
2021-01-21,1.1336786493462059,1.0595907565743423,0.007955499912838171,0.00421546409724094
2021-01-22,1.1303847195881886,1.056088940983381,-0.0029055233243714396,-0.0033048755561844168
2021-01-25,1.1397460394416015,1.0674561243962695,0.008281534322954531,0.01076347168478442
2021-01-26,1.141428652911065,1.0698867366519846,0.0014763056077720105,0.002277013734021116
2021-01-27,1.1095908967759425,1.0622916832541165,-0.027892900755491445,-0.0070989321931734795
2021-01-28,1.1162001454462502,1.0664417667438164,0.005956473407912499,0.0039067268953729695
2021-01-29,1.0927112891956263,1.0606278212679747,-0.021043588236797084,-0.005451723345001325
2021-02-01,1.1200074149068155,1.0725654767893371,0.024980180932588913,0.011255272850650755
2021-02-02,1.1382487986425025,1.0827080448444046,0.016286841937742658,0.009456362594690848
2021-02-03,1.1337499465271152,1.089818787413357,-0.003952433001249589,0.006567553093201672
2021-02-04,1.1471573813971405,1.0946127770169896,0.011825742449730337,0.004398886914962263
2021-02-05,1.1510787263471611,1.0978782876695032,0.0034183147086974675,0.0029832564730449818
2021-02-08,1.1587574327311105,1.103644855158377,0.006670878549130288,0.005252465190030087
2021-02-09,1.1585150223160183,1.1005279624433013,-0.00020919858483303688,-0.0028241808952469416
2021-02-10,1.1558984157766408,1.1054044179575093,-0.0022585866294134727,0.00443101464081086
2021-02-11,1.1622260405823561,1.1106101633937837,0.005474204929560189,0.004709358268979225
2021-02-12,1.1687212137632086,1.107697572289163,0.005588562770111327,-0.00262251436248373
